┌─────────────────┬───────┬────────────────────┐
│ bike_start_date │ trips │ trips_a_day_before │
│      date       │ int64 │       int64        │
├─────────────────┼───────┼────────────────────┤
│ 2020-01-03      │  5866 │                278 │
│ 2020-01-06      │  4096 │               4096 │
│ 2020-01-12      │  2048 │              12591 │
│ 2020-01-14      │  8192 │              10240 │
│ 2020-01-16      │  3428 │               2048 │
│ 2020-01-31      │  2048 │               8192 │
│ 2020-02-06      │  2048 │               8192 │
│ 2020-02-07      │  4902 │               2048 │
│ 2020-02-10      │   796 │               6144 │
│ 2020-02-11      │  3300 │                796 │
│ 2020-02-12      │  2048 │               3300 │
│ 2020-02-13      │  4096 │               2048 │
│ 2020-02-25      │  2048 │              11437 │
│ 2020-02-27      │  2048 │               4096 │
│ 2020-03-03      │  4096 │               4096 │
│ 2020-03-06      │  4096 │               4096 │
│ 2020-03-13      │  2048 │               6571 │
│ 2020-03-17      │  2048 │               2048 │
│ 2020-03-19      │  2048 │               4096 │
│ 2020-03-25      │  2048 │               8192 │
│     ·           │    ·  │                 ·  │
│     ·           │    ·  │                 ·  │
│     ·           │    ·  │                 ·  │
│ 2021-07-11      │ 10887 │              11593 │
│ 2021-07-12      │  9257 │              10887 │
│ 2021-07-17      │  8788 │              11574 │
│ 2021-07-18      │ 10625 │               8788 │
│ 2021-07-19      │ 10935 │              10625 │
│ 2021-07-21      │ 11361 │              11655 │
│ 2021-07-23      │ 11820 │              12514 │
│ 2021-07-25      │ 10347 │              13114 │
│ 2021-07-26      │ 10618 │              10347 │
│ 2021-07-28      │ 11742 │              11182 │
│ 2021-07-29      │  8122 │              11742 │
│ 2021-08-01      │  8706 │              12832 │
│ 2021-08-08      │  6998 │              10371 │
│ 2021-08-10      │  8530 │               8782 │
│ 2021-08-11      │  8876 │               8530 │
│ 2021-08-19      │  9598 │               9811 │
│ 2021-08-21      │  8757 │               9522 │
│ 2021-08-22      │  1511 │               8757 │
│ 2021-08-23      │  7054 │               1511 │
│ 2021-08-27      │  8294 │               9738 │
├─────────────────┴───────┴────────────────────┤
│ 201 rows (40 shown)                3 columns │
└──────────────────────────────────────────────┘
